Name,BSE Code,NSE Code,Industry Group,Industry
Faalcon Concepts,544164,FAALCON,Industrial Manufacturing,Industrial Products
GMM Pfaudler,505255,GMMPFAUDLR,Industrial Manufacturing,Industrial Products
Dishman Carbogen,540701,DCAL,Pharmaceuticals & Biotechnology,Pharmaceuticals
Amalgamated Elec,501622,,Commercial Services & Supplies,Diversified Commercial Services
Garware Marine,509563,,Textiles & Apparels,Other Textile Products
Golden Crest,540062,,Other Consumer Services,Education
Rathi Bars,532918,,Industrial Products,Iron & Steel Products
Shah Metacorp,533275,SHAH,Industrial Products,Iron & Steel Products
Latteys Industri,,LATTEYS,Industrial Products,"Compressors, Pumps & Diesel Engines"
SJ Corp,504398,,Consumer Durables,"Gems, Jewellery And Watches"
Camex,524440,,Chemicals & Petrochemicals,Commodity Chemicals
Indian CardCloth,509692,INDIANCARD,Textiles & Apparels,Other Textile Products
Arihant Super.,506194,ARIHANTSUP,Realty,"Residential, Commercial Projects"
Nahar Indl. Ent.,519136,NAHARINDUS,Textiles & Apparels,Other Textile Products
KJMC Corporate,532304,,Finance,Other Financial Services
Narendra Prop.,531416,,Realty,"Residential, Commercial Projects"
Rane Holdings,505800,RANEHOLDIN,Finance,Holding Company
Gandhar Oil Ref.,544029,GANDHAR,Petroleum Products,Lubricants
Vishwas Agri,,VISHWAS,Agricultural Food & other Products,Other Agricultural Products
Spice LoungeFood,539895,,Leisure Services,Restaurants
Ganesh Housing,526367,GANESHHOU,Realty,"Residential, Commercial Projects"
Epigral,543332,EPIGRAL,Chemicals & Petrochemicals,Specialty Chemicals
Sh. Bajrang All.,526981,,Industrial Products,Iron & Steel Products
La Opala RG,526947,LAOPALA,Consumer Durables,Glass - Consumer
Caprolactam Chem,507486,,Chemicals & Petrochemicals,Commodity Chemicals
Shipping Land,544142,SCILAL,Finance,Investment Company
Tarai Foods,519285,,Agricultural Food & other Products,Other Agricultural Products
Karma Energy Ltd,533451,KARMAENG,Power,Power Generation
Delta Manufact.,504286,DELTAMAGNT,Industrial Products,Other Industrial Products
Ganesh Benzopl.,500153,GANESHBE,Oil,Oil Storage & Transportation
Oswal Agro Mills,500317,OSWALAGRO,Commercial Services & Supplies,Trading & Distributors
Cella Space,532701,,"Paper, Forest & Jute Products",Paper & Paper Products
Hi-Tech Pipes,543411,HITECH,Industrial Products,Iron & Steel Products
Palco Metals Ltd,539121,,Non - Ferrous Metals,Aluminium
Mach Conferences,544248,,Other Consumer Services,Other Consumer Services
Incon Engineers,531594,,Industrial Manufacturing,Industrial Products
United Heat,,UHTL,Industrial Products,Other Industrial Products
Kalana Ispat,,KALANA,Industrial Products,Iron & Steel Products
Libord Securitie,531027,,Finance,Other Financial Services
Aspinwall & Co,,ASPINWALL,Transport Services,Logistics Solution Provider
A B Real Estate,500040,ABREL,"Paper, Forest & Jute Products",Paper & Paper Products
Aartech Solonics,542580,AARTECH,Electrical Equipment,Heavy Electrical Equipment
Virat Crane Inds,519457,,Food Products,Dairy Products
Lagnam Spintex,,LAGNAM,Textiles & Apparels,Other Textile Products
Motisons Jewel,544053,MOTISONS,Consumer Durables,"Gems, Jewellery And Watches"
Geojit Fin. Ser.,532285,GEOJITFSL,Capital Markets,Stockbroking & Allied
Acme Resources,539391,,Finance,Non Banking Financial Company (NBFC)
IMEC Services,513295,,Commercial Services & Supplies,Consulting Services
Vaishno Cement,526941,,Cement & Cement Products,Cement & Cement Products
Innovators,541353,,Industrial Manufacturing,Industrial Products
Tolins Tyres,544254,TOLINS,Auto Components,Tyres & Rubber Products
Marg Techno-Proj,540254,,Finance,Non Banking Financial Company (NBFC)
ABans Enterprise,512165,,Metals & Minerals Trading,Trading - Metals
Ashika Credit,543766,,Finance,Non Banking Financial Company (NBFC)
Shelter Pharma,543963,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Guj. Raffia Inds,523836,GUJRAFFIA,Industrial Products,Packaging
S D Retail,,SDREAMS,Textiles & Apparels,Garments & Apparels
Thomas Cook (I),500413,THOMASCOOK,Leisure Services,"Tour, Travel Related Services"
Digicontent,542685,DGCONTENT,Media,Advertising & Media Agencies
Kaytex Fabrics,,KAYTEX,Textiles & Apparels,Garments & Apparels
Sunil Healthcare,537253,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Mufin Green,542774,MUFIN,Finance,Non Banking Financial Company (NBFC)
Mukka Proteins,544135,MUKKA,Food Products,Animal Feed
Huhtamaki India,509820,HUHTAMAKI,Industrial Products,Packaging
Tirth Plastic,526675,,Commercial Services & Supplies,Trading & Distributors
Transpek Inds.,506687,,Chemicals & Petrochemicals,Commodity Chemicals
PTC India Fin,533344,PFS,Finance,Non Banking Financial Company (NBFC)
Explicit Finance,530571,,Commercial Services & Supplies,Diversified Commercial Services
Sri Lak.Sar.Arni,521161,,Textiles & Apparels,Other Textile Products
Veto Switchgears,539331,VETO,Consumer Durables,Consumer Electronics
KPIT Technologi.,542651,KPITTECH,IT - Software,Computers - Software & Consulting
Omni Ax's,532340,,IT - Software,Software Products
Kunststoff Inds.,523594,,Industrial Products,Plastic Products - Industrial
Crown Lifters,,CROWN,Industrial Manufacturing,Industrial Products
Esprit Stones,,ESPRIT,Consumer Durables,Granites & Marbles
Advance Lifes.,521048,,Textiles & Apparels,Other Textile Products
5paisa Capital,540776,5PAISA,Capital Markets,Stockbroking & Allied
DCW,500117,DCW,Chemicals & Petrochemicals,Petrochemicals
